rank,id,title,score,workType,subjectType,templateId,templateName,compositionPatterns,styleKeywords,lightingCamera,containsText,textRequirement,failureRisks,detailUrl,whySelected
"1","14869","Apple 风格极简演示文稿封面","97","海报/封面","产品","T05","电影/专辑封面","grid; vertical; horizontal","realistic; photorealistic; cinematic; editorial; minimalist; luxury; premium","studio lighting","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14869","得分 97；构图: grid, vertical, horizontal；风格: realistic, photorealistic, cinematic, editorial, minimalist, luxury, premium；要求精确文字；包含标注/说明；文字是主视觉"
"2","15446","日系机甲少女手办广告海报","96","人物/角色","产品","T02","全身角色设定","centered; close-up; poster layout; vertical; horizontal","realistic; editorial; anime; sci-fi; premium; studio","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 手部/比例/面部一致性; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15446","得分 96；构图: centered, close-up, poster layout, vertical, horizontal；风格: realistic, editorial, anime, sci-fi, premium, studio；要求精确文字；包含标注/说明；文字是主视觉"
"3","15607","电影时代排版网格","96","人物/角色","产品","T02","全身角色设定","centered; grid; 2x2; front-facing","realistic; photorealistic; 3d; vintage; studio","studio lighting; lens; camera","true","要求精确文字；要求可读；文字是主视觉","文字可读性/准确拼写; 手部/比例/面部一致性; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15607","得分 96；构图: centered, grid, 2x2, front-facing；风格: realistic, photorealistic, 3d, vintage, studio；要求精确文字；要求可读；文字是主视觉"
"4","15090","动漫女主角宣传海报","95","人物/角色","人物","T02","全身角色设定","close-up; full-body; poster layout; layered; vertical","anime; sci-fi; fantasy; premium","","true","文字是主视觉","文字可读性/准确拼写; 手部/比例/面部一致性","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15090","得分 95；构图: close-up, full-body, poster layout, layered, vertical；风格: anime, sci-fi, fantasy, premium；文字是主视觉"
"5","15041","电影感武士风格代理商落地页","95","人物/角色","文字符号","T02","全身角色设定","centered; full-body; layered; vertical","realistic; cinematic; luxury; premium; studio","","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 手部/比例/面部一致性; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15041","得分 95；构图: centered, full-body, layered, vertical；风格: realistic, cinematic, luxury, premium, studio；要求精确文字；包含标注/说明；文字是主视觉"
"6","15798","奇幻精灵游侠集换式卡牌","95","插画/漫画","产品","T03","动作漫画/动漫场景","centered; layered; vertical","realistic; cinematic; fantasy; premium","","true","要求精确文字；要求可读；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15798","得分 95；构图: centered, layered, vertical；风格: realistic, cinematic, fantasy, premium；要求精确文字；要求可读；文字是主视觉"
"7","15077","史诗级 FC Barcelona 传承海报","95","海报/封面","人物","T04","编辑感海报主视觉","centered; poster layout; layered; vertical; horizontal","cinematic; editorial; luxury; premium","rim light; high contrast","true","要求精确文字；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15077","得分 95；构图: centered, poster layout, layered, vertical, horizontal；风格: cinematic, editorial, luxury, premium；要求精确文字；文字是主视觉"
"8","15668","北欧奢华旅行海报","94","海报/封面","文字符号","T04","编辑感海报主视觉","symmetrical; vertical; horizontal","realistic; photorealistic; cinematic; editorial; luxury; premium","golden hour; camera","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15668","得分 94；构图: symmetrical, vertical, horizontal；风格: realistic, photorealistic, cinematic, editorial, luxury, premium；要求精确文字；包含标注/说明；文字是主视觉"
"9","15039","复古快餐品牌项目","94","字体/Logo","文字符号","T15","Logo/字体实验","close-up; grid; 2x2","editorial; vintage; retro; premium; hand-drawn","","true","要求精确文字；要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15039","得分 94；构图: close-up, grid, 2x2；风格: editorial, vintage, retro, premium, hand-drawn；要求精确文字；要求可读；包含标注/说明；文字是主视觉"
"10","14842","尤文图斯电影感球员海报","93","海报/封面","文字符号","T04","编辑感海报主视觉","centered; close-up; full-body; layered; vertical","cinematic; editorial; luxury; premium","rim light; high contrast","true","要求精确文字；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14842","得分 93；构图: centered, close-up, full-body, layered, vertical；风格: cinematic, editorial, luxury, premium；要求精确文字；文字是主视觉"
